,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,332,332114,Custom Roll Forming,332114,Custom Roll Forming,,,,,,,,,,,,,331,331528,Other Nonferrous Foundries (except Die-Casting),331528,Other Nonferrous Foundries (except Die-Casting),,,,,331,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,
,,,,,,,,332,332115,Crown and Closure Manufacturing,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",,,,,,,,,,,,,332,332111,Iron and Steel Forging,332111,Iron and Steel Forging,,,,,331,331221,Rolled Steel Shape Manufacturing,331221,Rolled Steel Shape Manufacturing,
,,,,,,,,332,332116,Metal Stamping,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",,,,,,,,,,,,,332,332112,Nonferrous Forging,332112,Nonferrous Forging,,,,,331,331222,Steel Wire Drawing,331222,Steel Wire Drawing,
,,,,,,,,332,332117,Powder Metallurgy Part Manufacturing,332117,Powder Metallurgy Part Manufacturing,,,,,,,,,,,,,332,332114,Custom Roll Forming,332114,Custom Roll Forming,,,,,331,331311,Alumina Refining,331311,Alumina Refining,
,,,,,,,,332,332211,Cutlery and Flatware (except Precious) Manufacturing,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",,,,,,,,,,,,,332,332115,Crown and Closure Manufacturing,332115,Crown and Closure Manufacturing,,,,,331,331312,Primary Aluminum Production,331312,Primary Aluminum Production,
,,,,,,,,332,332212,Hand and Edge Tool Manufacturing,332216,Saw Blade and Handtool Manufacturing,,,,,,,,,,,,,332,332116,Metal Stamping,332116,Metal Stamping,,,,,331,331314,Secondary Smelting and Alloying of Aluminum,331314,Secondary Smelting and Alloying of Aluminum,
,,,,,,,,332,332213,Saw Blade and Handsaw Manufacturing,332216,Saw Blade and Handtool Manufacturing,,,,,,,,,,,,,332,332117,Powder Metallurgy Part Manufacturing,332117,Powder Metallurgy Part Manufacturing,,,,,331,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",331315,"Aluminum Sheet, Plate, and Foil Manufacturing",
,,,,,,,,332,332214,"Kitchen Utensil, Pot, and Pan Manufacturing",332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",,,,,,,,,,,,,332,332211,Cutlery and Flatware (except Precious) Manufacturing,332211,Cutlery and Flatware (except Precious) Manufacturing,,,,,331,331316,Aluminum Extruded Product Manufacturing,331316,Aluminum Extruded Product Manufacturing,
,,,,,,,,332,332311,Prefabricated Metal Building and Component Manufacturing,332311,Prefabricated Metal Building and Component Manufacturing,,,,,,,,,,,,,332,332212,Hand and Edge Tool Manufacturing,332212,Hand and Edge Tool Manufacturing,,,,,331,331319,Other Aluminum Rolling and Drawing,331319,Other Aluminum Rolling and Drawing,
,,,,,,,,332,332312,Fabricated Structural Metal Manufacturing,332312,Fabricated Structural Metal Manufacturing,,,,,,,,,,,,,332,332213,Saw Blade and Handsaw Manufacturing,332213,Saw Blade and Handsaw Manufacturing,,,,,331,331411,Primary Smelting and Refining of Copper,331411,Primary Smelting and Refining of Copper,
,,,,,,,,332,332313,Plate Work Manufacturing,332313,Plate Work Manufacturing,,,,,,,,,,,,,332,332214,"Kitchen Utensil, Pot, and Pan Manufacturing",332214,"Kitchen Utensil, Pot, and Pan Manufacturing",,,,,331,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),
,,,,,,,,332,332321,Metal Window and Door Manufacturing,332321,Metal Window and Door Manufacturing,,,,,,,,,,,,,332,332311,Prefabricated Metal Building and Component Manufacturing,332311,Prefabricated Metal Building and Component Manufacturing,,,,,331,331421,"Copper Rolling, Drawing, and Extruding",331421,"Copper Rolling, Drawing, and Extruding",
,,,,,,,,332,332322,Sheet Metal Work Manufacturing,332322,Sheet Metal Work Manufacturing,,,,,,,,,,,,,332,332312,Fabricated Structural Metal Manufacturing,332312,Fabricated Structural Metal Manufacturing,,,,,331,331422,Copper Wire (except Mechanical) Drawing,331422,Copper Wire (except Mechanical) Drawing,
,,,,,,,,332,332323,Ornamental and Architectural Metal Work Manufacturing,332323,Ornamental and Architectural Metal Work Manufacturing,,,,,,,,,,,,,332,332313,Plate Work Manufacturing,332313,Plate Work Manufacturing,,,,,331,331423,"Secondary Smelting, Refining, and Alloying of Copper",331423,"Secondary Smelting, Refining, and Alloying of Copper",
,,,,,,,,332,332410,Power Boiler and Heat Exchanger Manufacturing,332410,Power Boiler and Heat Exchanger Manufacturing,,,,,,,,,,,,,332,332321,Metal Window and Door Manufacturing,332321,Metal Window and Door Manufacturing,,,,,331,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",
,,,,,,,,332,332420,Metal Tank (Heavy Gauge) Manufacturing,332420,Metal Tank (Heavy Gauge) Manufacturing,,,,,,,,,,,,,332,332322,Sheet Metal Work Manufacturing,332322,Sheet Metal Work Manufacturing,,,,,331,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",
,,,,,,,,332,332431,Metal Can Manufacturing,332431,Metal Can Manufacturing,,,,,,,,,,,,,332,332323,Ornamental and Architectural Metal Work Manufacturing,332323,Ornamental and Architectural Metal Work Manufacturing,,,,,331,331511,Iron Foundries,331511,Iron Foundries,
,,,,,,,,332,332439,Other Metal Container Manufacturing,332439,Other Metal Container Manufacturing,,,,,,,,,,,,,332,332410,Power Boiler and Heat Exchanger Manufacturing,332410,Power Boiler and Heat Exchanger Manufacturing,,,,,331,331512,Steel Investment Foundries,331512,Steel Investment Foundries,
,,,,,,,,332,332510,Hardware Manufacturing,332510,Hardware Manufacturing,,,,,,,,,,,,,332,332420,Metal Tank (Heavy Gauge) Manufacturing,332420,Metal Tank (Heavy Gauge) Manufacturing,,,,,331,331513,Steel Foundries (except Investment),331513,Steel Foundries (except Investment),
,,,,,,,,332,332611,Spring (Heavy Gauge) Manufacturing,332613,Spring Manufacturing,,,,,,,,,,,,,332,332431,Metal Can Manufacturing,332431,Metal Can Manufacturing,,,,,331,331521,Aluminum Die-Casting Foundries,331521,Aluminum Die-Casting Foundries,
,,,,,,,,332,332612,Spring (Light Gauge) Manufacturing,332613,Spring Manufacturing,,,,,,,,,,,,,332,332439,Other Metal Container Manufacturing,332439,Other Metal Container Manufacturing,,,,,331,331522,Nonferrous (except Aluminum) Die-Casting Foundries,331522,Nonferrous (except Aluminum) Die-Casting Foundries,
,,,,,,,,332,332618,Other Fabricated Wire Product Manufacturing,332618,Other Fabricated Wire Product Manufacturing,,,,,,,,,,,,,332,332510,Hardware Manufacturing,332510,Hardware Manufacturing,,,,,331,331524,Aluminum Foundries (except Die-Casting),331524,Aluminum Foundries (except Die-Casting),
,,,,,,,,332,332710,Machine Shops,332710,Machine Shops,,,,,,,,,,,,,332,332611,Spring (Heavy Gauge) Manufacturing,332611,Spring (Heavy Gauge) Manufacturing,,,,,331,331525,Copper Foundries (except Die-Casting),331525,Copper Foundries (except Die-Casting),
,,,,,,,,332,332721,Precision Turned Product Manufacturing,332721,Precision Turned Product Manufacturing,,,,,,,,,,,,,332,332612,Spring (Light Gauge) Manufacturing,332612,Spring (Light Gauge) Manufacturing,,,,,331,331528,Other Nonferrous Foundries (except Die-Casting),331528,Other Nonferrous Foundries (except Die-Casting),
,,,,,,,,332,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",,,,,,,,,,,,,332,332618,Other Fabricated Wire Product Manufacturing,332618,Other Fabricated Wire Product Manufacturing,,,,,332,332111,Iron and Steel Forging,332111,Iron and Steel Forging,
,,,,,,,,332,332811,Metal Heat Treating,332811,Metal Heat Treating,,,,,,,,,,,,,332,332710,Machine Shops,332710,Machine Shops,,,,,332,332112,Nonferrous Forging,332112,Nonferrous Forging,
,,,,,,,,332,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,,,,,,,,,,,,332,332721,Precision Turned Product Manufacturing,332721,Precision Turned Product Manufacturing,,,,,332,332114,Custom Roll Forming,332114,Custom Roll Forming,
,,,,,,,,332,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",,,,,,,,,,,,,332,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",,,,,332,332115,Crown and Closure Manufacturing,332115,Crown and Closure Manufacturing,
,,,,,,,,332,332911,Industrial Valve Manufacturing,332911,Industrial Valve Manufacturing,,,,,,,,,,,,,332,332811,Metal Heat Treating,332811,Metal Heat Treating,,,,,332,332116,Metal Stamping,332116,Metal Stamping,
,,,,,,,,332,332912,Fluid Power Valve and Hose Fitting Manufacturing,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,,,,,,,,,332,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,,,,332,332117,Powder Metallurgy Part Manufacturing,332117,Powder Metallurgy Part Manufacturing,
,,,,,,,,332,332913,Plumbing Fixture Fitting and Trim Manufacturing,332913,Plumbing Fixture Fitting and Trim Manufacturing,,,,,,,,,,,,,332,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",,,,,332,332211,Cutlery and Flatware (except Precious) Manufacturing,332211,Cutlery and Flatware (except Precious) Manufacturing,
,,,,,,,,332,332919,Other Metal Valve and Pipe Fitting Manufacturing,332919,Other Metal Valve and Pipe Fitting Manufacturing,,,,,,,,,,,,,332,332911,Industrial Valve Manufacturing,332911,Industrial Valve Manufacturing,,,,,332,332212,Hand and Edge Tool Manufacturing,332212,Hand and Edge Tool Manufacturing,
,,,,,,,,332,332991,Ball and Roller Bearing Manufacturing,332991,Ball and Roller Bearing Manufacturing,,,,,,,,,,,,,332,332912,Fluid Power Valve and Hose Fitting Manufacturing,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,332,332213,Saw Blade and Handsaw Manufacturing,332213,Saw Blade and Handsaw Manufacturing,
,,,,,,,,332,332992,Small Arms Ammunition Manufacturing,332992,Small Arms Ammunition Manufacturing,,,,,,,,,,,,,332,332913,Plumbing Fixture Fitting and Trim Manufacturing,332913,Plumbing Fixture Fitting and Trim Manufacturing,,,,,332,332214,"Kitchen Utensil, Pot, and Pan Manufacturing",332214,"Kitchen Utensil, Pot, and Pan Manufacturing",
,,,,,,,,332,332993,Ammunition (except Small Arms) Manufacturing,332993,Ammunition (except Small Arms) Manufacturing,,,,,,,,,,,,,332,332919,Other Metal Valve and Pipe Fitting Manufacturing,332919,Other Metal Valve and Pipe Fitting Manufacturing,,,,,332,332311,Prefabricated Metal Building and Component Manufacturing,332311,Prefabricated Metal Building and Component Manufacturing,
,,,,,,,,332,332994,Small Arms Manufacturing,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",,,,,,,,,,,,,332,332991,Ball and Roller Bearing Manufacturing,332991,Ball and Roller Bearing Manufacturing,,,,,332,332312,Fabricated Structural Metal Manufacturing,332312,Fabricated Structural Metal Manufacturing,
,,,,,,,,332,332995,Other Ordnance and Accessories Manufacturing,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",,,,,,,,,,,,,332,332992,Small Arms Ammunition Manufacturing,332992,Small Arms Ammunition Manufacturing,,,,,332,332313,Plate Work Manufacturing,332313,Plate Work Manufacturing,
,,,,,,,,332,332996,Fabricated Pipe and Pipe Fitting Manufacturing,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,,,,,,,,,,,,332,332993,Ammunition (except Small Arms) Manufacturing,332993,Ammunition (except Small Arms) Manufacturing,,,,,332,332321,Metal Window and Door Manufacturing,332321,Metal Window and Door Manufacturing,
,,,,,,,,332,332997,Industrial Pattern Manufacturing,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,,,,,,,,,,,332,332994,Small Arms Manufacturing,332994,Small Arms Manufacturing,,,,,332,332322,Sheet Metal Work Manufacturing,332322,Sheet Metal Work Manufacturing,
,,,,,,,,332,332998,Enameled Iron and Metal Sanitary Ware Manufacturing,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,,,,,,,,,,,332,332995,Other Ordnance and Accessories Manufacturing,332995,Other Ordnance and Accessories Manufacturing,,,,,332,332323,Ornamental and Architectural Metal Work Manufacturing,332323,Ornamental and Architectural Metal Work Manufacturing,
,,,,,,,,332,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,,,,,,,,,,,332,332996,Fabricated Pipe and Pipe Fitting Manufacturing,332996,Fabricated Pipe and Pipe Fitting Manufacturing,,,,,332,332410,Power Boiler and Heat Exchanger Manufacturing,332410,Power Boiler and Heat Exchanger Manufacturing,
,,,,,,,,333,333111,Farm Machinery and Equipment Manufacturing,333111,Farm Machinery and Equipment Manufacturing,,,,,,,,,,,,,332,332997,Industrial Pattern Manufacturing,332997,Industrial Pattern Manufacturing,,,,,332,332420,Metal Tank (Heavy Gauge) Manufacturing,332420,Metal Tank (Heavy Gauge) Manufacturing,
,,,,,,,,333,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,,,,,,,,,,,,,332,332998,Enameled Iron and Metal Sanitary Ware Manufacturing,332998,Enameled Iron and Metal Sanitary Ware Manufacturing,,,,,332,332431,Metal Can Manufacturing,332431,Metal Can Manufacturing,
,,,,,,,,333,333120,Construction Machinery Manufacturing,333120,Construction Machinery Manufacturing,,,,,,,,,,,,,332,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,,,,332,332439,Other Metal Container Manufacturing,332439,Other Metal Container Manufacturing,
,,,,,,,,333,333131,Mining Machinery and Equipment Manufacturing,333131,Mining Machinery and Equipment Manufacturing,,,,,,,,,,,,,333,333111,Farm Machinery and Equipment Manufacturing,333111,Farm Machinery and Equipment Manufacturing,,,,,332,332510,Hardware Manufacturing,332510,Hardware Manufacturing,
,,,,,,,,333,333132,Oil and Gas Field Machinery and Equipment Manufacturing,333132,Oil and Gas Field Machinery and Equipment Manufacturing,,,,,,,,,,,,,333,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,,,,,332,332611,Spring (Heavy Gauge) Manufacturing,332611,Spring (Heavy Gauge) Manufacturing,
,,,,,,,,333,333210,Sawmill and Woodworking Machinery Manufacturing,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",,,,,,,,,,,,,333,333120,Construction Machinery Manufacturing,333120,Construction Machinery Manufacturing,,,,,332,332612,Spring (Light Gauge) Manufacturing,332612,Spring (Light Gauge) Manufacturing,
,,,,,,,,333,333220,Plastics and Rubber Industry Machinery Manufacturing,333249,Other Industrial Machinery Manufacturing,,,,,,,,,,,,,333,333131,Mining Machinery and Equipment Manufacturing,333131,Mining Machinery and Equipment Manufacturing,,,,,332,332618,Other Fabricated Wire Product Manufacturing,332618,Other Fabricated Wire Product Manufacturing,
,,,,,,,,333,333291,Paper Industry Machinery Manufacturing,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",,,,,,,,,,,,,333,333132,Oil and Gas Field Machinery and Equipment Manufacturing,333132,Oil and Gas Field Machinery and Equipment Manufacturing,,,,,332,332710,Machine Shops,332710,Machine Shops,
,,,,,,,,333,333292,Textile Machinery Manufacturing,333249,Other Industrial Machinery Manufacturing,,,,,,,,,,,,,333,333210,Sawmill and Woodworking Machinery Manufacturing,333210,Sawmill and Woodworking Machinery Manufacturing,,,,,332,332721,Precision Turned Product Manufacturing,332721,Precision Turned Product Manufacturing,
,,,,,,,,333,333293,Printing Machinery and Equipment Manufacturing,333244,Printing Machinery and Equipment Manufacturing,,,,,,,,,,,,,333,333220,Plastics and Rubber Industry Machinery Manufacturing,333220,Plastics and Rubber Industry Machinery Manufacturing,,,,,332,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",
,,,,,,,,333,333294,Food Product Machinery Manufacturing,333241,Food Product Machinery Manufacturing,,,,,,,,,,,,,333,333291,Paper Industry Machinery Manufacturing,333291,Paper Industry Machinery Manufacturing,,,,,332,332811,Metal Heat Treating,332811,Metal Heat Treating,
,,,,,,,,333,333295,Semiconductor Machinery Manufacturing,333242,Semiconductor Machinery Manufacturing,,,,,,,,,,,,,333,333292,Textile Machinery Manufacturing,333292,Textile Machinery Manufacturing,,,,,332,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",
